"id";"user_id";"bike_id";"start_time";"end_time";"start_pos";"end_pos";"start_cost";"var_cost";"park_cost"
"39";"1031";"466";"2023-10-01 19:47";"2023-10-01 19:49";"[13.45477,59.39048]";"[13.45629,59.38889]";"10.00";"4.46";"100.00"
"40";"1031";"466";"2023-10-01 20:11";"2023-10-01 20:14";"[13.45629,59.38889]";"[13.45477,59.39048]";"10.00";"7.21";"100.00"
"41";"1726";"267";"2023-10-01 20:25";"2023-10-01 20:28";"[18.01996,59.34749]";"[18.01828,59.34945]";"10.00";"7.92";"100.00"
"42";"1406";"684";"2023-10-01 20:27";"2023-10-01 20:38";"[13.57669,59.40064]";"[13.57286,59.40044]";"10.00";"31.14";"100.00"
"43";"1987";"537";"2023-10-01 20:28";"2023-10-01 20:31";"[13.55668,59.41347]";"[13.5565,59.41095]";"10.00";"6.13";"100.00"
"44";"1470";"154";"2023-10-01 20:31";"2023-10-01 20:37";"[18.06147,59.33435]";"[18.0584,59.33425]";"10.00";"16.75";"100.00"
"45";"1726";"267";"2023-10-01 20:41";"2023-10-01 20:46";"[18.01828,59.34945]";"[18.02133,59.34854]";"10.00";"13.84";"100.00"
"46";"1406";"684";"2023-10-01 20:58";"2023-10-01 21:04";"[13.57286,59.40044]";"[13.57279,59.40228]";"10.00";"16.44";"100.00"
"47";"1647";"598";"2023-10-01 21:11";"2023-10-01 21:14";"[13.49225,59.39966]";"[13.48641,59.40195]";"10.00";"6.02";"100.00"
"48";"2014";"635";"2023-10-01 21:11";"2023-10-01 21:14";"[13.54435,59.4059]";"[13.54767,59.407]";"10.00";"8.75";"100.00"
"49";"1688";"530";"2023-10-01 21:19";"2023-10-01 21:24";"[13.5341,59.38965]";"[13.53644,59.39354]";"10.00";"14.04";"100.00"
"50";"1470";"154";"2023-10-01 21:27";"2023-10-01 21:34";"[18.0584,59.33425]";"[18.06318,59.33232]";"10.00";"18.96";"100.00"
"51";"1814";"643";"2023-10-01 21:34";"2023-10-01 21:42";"[13.46635,59.37769]";"[13.46762,59.37899]";"10.00";"21.58";"100.00"
"52";"1406";"684";"2023-10-01 21:35";"2023-10-01 21:40";"[13.57279,59.40228]";"[13.57669,59.40064]";"10.00";"14.06";"100.00"
"53";"1647";"598";"2023-10-01 21:40";"2023-10-01 21:43";"[13.48641,59.40195]";"[13.4906,59.4015]";"10.00";"7.19";"100.00"
"54";"1347";"403";"2023-10-01 21:44";"2023-10-01 21:52";"[13.51214,59.39973]";"[13.51345,59.39741]";"10.00";"23.43";"100.00"
"55";"2014";"635";"2023-10-01 21:59";"2023-10-01 22:00";"[13.54767,59.407]";"[13.54435,59.4059]";"10.00";"2.60";"100.00"
"56";"1688";"530";"2023-10-01 22:02";"2023-10-01 22:07";"[13.53644,59.39354]";"[13.5345,59.39167]";"10.00";"13.68";"100.00"
"57";"1347";"403";"2023-10-01 22:14";"2023-10-01 22:19";"[13.51345,59.39741]";"[13.51214,59.39973]";"10.00";"14.13";"100.00"
"58";"1471";"154";"2023-10-01 22:14";"2023-10-01 22:19";"[18.06318,59.33232]";"[18.06147,59.33435]";"10.00";"13.79";"100.00"
"59";"1814";"643";"2023-10-01 22:24";"2023-10-01 22:30";"[13.46762,59.37899]";"[13.47077,59.37717]";"10.00";"17.84";"100.00"
"60";"1648";"598";"2023-10-01 22:36";"2023-10-01 22:42";"[13.4906,59.4015]";"[13.49225,59.39966]";"10.00";"17.38";"100.00"
"61";"1688";"530";"2023-10-01 22:51";"2023-10-01 22:57";"[13.5345,59.39167]";"[13.5341,59.38965]";"10.00";"16.61";"100.00"
"62";"1814";"643";"2023-10-01 22:53";"2023-10-01 22:57";"[13.47077,59.37717]";"[13.46635,59.37769]";"10.00";"10.89";"100.00"
"63";"1506";"88";"2023-10-02 08:48";"2023-10-02 09:01";"[18.03164,59.34393]";"[18.03275,59.34077]";"10.00";"37.59";"100.00"
"64";"1506";"88";"2023-10-02 09:57";"2023-10-02 10:02";"[18.03275,59.34077]";"[18.02635,59.34253]";"10.00";"14.27";"100.00"
"65";"1792";"151";"2023-10-02 10:26";"2023-10-02 10:34";"[18.06874,59.32266]";"[18.064,59.32373]";"10.00";"21.36";"100.00"
"66";"1393";"642";"2023-10-02 10:35";"2023-10-02 10:46";"[13.51108,59.39809]";"[13.51256,59.39826]";"10.00";"31.61";"100.00"
"67";"1884";"720";"2023-10-02 10:36";"2023-10-02 10:48";"[13.49691,59.40296]";"[13.49594,59.40413]";"10.00";"34.56";"100.00"
"68";"1414";"80";"2023-10-02 10:40";"2023-10-02 10:47";"[18.03814,59.34157]";"[18.04334,59.34175]";"10.00";"20.27";"100.00"
"69";"1605";"391";"2023-10-02 10:53";"2023-10-02 11:04";"[13.51756,59.38342]";"[13.51834,59.38577]";"10.00";"30.15";"100.00"
"70";"1346";"835";"2023-10-02 10:56";"2023-10-02 11:07";"[11.95013,57.72957]";"[11.94821,57.72707]";"10.00";"31.29";"100.00"
"71";"1506";"88";"2023-10-02 10:56";"2023-10-02 10:59";"[18.02635,59.34253]";"[18.03164,59.34393]";"10.00";"7.32";"100.00"
"72";"1394";"642";"2023-10-02 11:24";"2023-10-02 11:29";"[13.51256,59.39826]";"[13.51073,59.40028]";"10.00";"12.27";"100.00"
"73";"1793";"151";"2023-10-02 11:24";"2023-10-02 11:29";"[18.064,59.32373]";"[18.0673,59.32456]";"10.00";"14.79";"100.00"
"74";"1885";"720";"2023-10-02 11:25";"2023-10-02 11:31";"[13.49594,59.40413]";"[13.49381,59.40234]";"10.00";"16.27";"100.00"
"75";"1606";"391";"2023-10-02 11:30";"2023-10-02 11:35";"[13.51834,59.38577]";"[13.51756,59.38342]";"10.00";"12.89";"100.00"
"76";"1415";"80";"2023-10-02 11:36";"2023-10-02 11:40";"[18.04334,59.34175]";"[18.04079,59.34446]";"10.00";"9.30";"100.00"
"77";"1262";"258";"2023-10-02 11:38";"2023-10-02 11:41";"[18.03288,59.34983]";"[18.03346,59.34929]";"10.00";"6.79";"100.00"
"78";"1395";"642";"2023-10-02 11:39";"2023-10-02 11:41";"[13.51073,59.40028]";"[13.51108,59.39809]";"10.00";"4.45";"100.00"
"79";"1346";"835";"2023-10-02 11:47";"2023-10-02 11:53";"[11.94821,57.72707]";"[11.95013,57.72957]";"10.00";"15.09";"100.00"
"80";"1415";"80";"2023-10-02 11:47";"2023-10-02 11:51";"[18.04079,59.34446]";"[18.03814,59.34157]";"10.00";"9.52";"100.00"
"81";"1793";"151";"2023-10-02 11:55";"2023-10-02 12:00";"[18.0673,59.32456]";"[18.06874,59.32266]";"10.00";"13.46";"100.00"
"82";"1885";"720";"2023-10-02 12:02";"2023-10-02 12:08";"[13.49381,59.40234]";"[13.49691,59.40296]";"10.00";"16.60";"100.00"
"83";"1806";"173";"2023-10-02 12:15";"2023-10-02 12:25";"[18.03068,59.34937]";"[18.02314,59.34929]";"10.00";"27.79";"100.00"
"84";"1728";"204";"2023-10-02 12:22";"2023-10-02 12:31";"[18.08279,59.30473]";"[18.08114,59.30519]";"10.00";"25.12";"100.00"
"85";"1262";"258";"2023-10-02 12:31";"2023-10-02 12:33";"[18.03346,59.34929]";"[18.03641,59.35061]";"10.00";"4.77";"100.00"
"86";"1169";"766";"2023-10-02 12:34";"2023-10-02 12:43";"[11.98015,57.73205]";"[11.98286,57.73404]";"10.00";"24.33";"100.00"
"87";"1807";"173";"2023-10-02 13:01";"2023-10-02 13:08";"[18.02314,59.34929]";"[18.02745,59.34906]";"10.00";"18.13";"100.00"
"88";"1263";"258";"2023-10-02 13:08";"2023-10-02 13:10";"[18.03641,59.35061]";"[18.03288,59.34983]";"10.00";"4.52";"100.00"
"89";"1728";"204";"2023-10-02 13:24";"2023-10-02 13:32";"[18.08114,59.30519]";"[18.07766,59.3048]";"10.00";"21.59";"100.00"
"90";"1169";"766";"2023-10-02 13:27";"2023-10-02 13:30";"[11.98286,57.73404]";"[11.98015,57.73205]";"10.00";"6.83";"100.00"
"91";"1808";"173";"2023-10-02 13:33";"2023-10-02 13:36";"[18.02745,59.34906]";"[18.03068,59.34937]";"10.00";"8.15";"100.00"
"92";"1729";"204";"2023-10-02 13:40";"2023-10-02 13:47";"[18.07766,59.3048]";"[18.08279,59.30473]";"10.00";"19.73";"100.00"
"93";"1653";"75";"2023-10-02 15:44";"2023-10-02 15:52";"[18.07477,59.31428]";"[18.06935,59.31976]";"10.00";"22.25";"100.00"
"94";"1654";"75";"2023-10-02 15:57";"2023-10-02 16:00";"[18.06935,59.31976]";"[18.0707,59.31691]";"10.00";"6.53";"100.00"
"95";"1655";"75";"2023-10-02 16:28";"2023-10-02 16:33";"[18.0707,59.31691]";"[18.07477,59.31428]";"10.00";"12.17";"100.00"
"96";"1674";"165";"2023-10-02 17:24";"2023-10-02 17:34";"[18.0226,59.34722]";"[18.02838,59.34728]";"10.00";"28.28";"100.00"
"97";"1691";"261";"2023-10-02 17:39";"2023-10-02 17:49";"[18.09764,59.3097]";"[18.09676,59.30874]";"10.00";"28.49";"100.00"
"98";"1817";"446";"2023-10-02 17:39";"2023-10-02 17:45";"[13.52075,59.40063]";"[13.52529,59.39808]";"10.00";"17.38";"100.00"
"99";"1830";"688";"2023-10-02 17:40";"2023-10-02 17:52";"[13.48804,59.37148]";"[13.48461,59.37219]";"10.00";"33.41";"100.00"
"100";"1675";"165";"2023-10-02 17:43";"2023-10-02 17:47";"[18.02838,59.34728]";"[18.02646,59.34558]";"5.00";"11.58";"5.00"
"101";"1563";"360";"2023-10-02 18:15";"2023-10-02 18:26";"[13.51924,59.40433]";"[13.51949,59.39957]";"10.00";"31.58";"100.00"
"102";"1817";"446";"2023-10-02 18:23";"2023-10-02 18:29";"[13.52529,59.39808]";"[13.52359,59.3995]";"10.00";"17.57";"100.00"
"103";"1676";"165";"2023-10-02 18:26";"2023-10-02 18:32";"[18.02646,59.34558]";"[18.0226,59.34722]";"10.00";"15.84";"100.00"
"104";"1692";"261";"2023-10-02 18:27";"2023-10-02 18:30";"[18.09676,59.30874]";"[18.09617,59.31135]";"10.00";"6.78";"100.00"
"105";"1831";"688";"2023-10-02 18:34";"2023-10-02 18:41";"[13.48461,59.37219]";"[13.4901,59.37163]";"10.00";"18.71";"100.00"
"106";"1693";"261";"2023-10-02 19:02";"2023-10-02 19:04";"[18.09616,59.31135]";"[18.09764,59.3097]";"10.00";"4.02";"100.00"
"107";"1563";"360";"2023-10-02 19:05";"2023-10-02 19:08";"[13.51949,59.39957]";"[13.52063,59.4021]";"10.00";"7.82";"100.00"
"108";"1103";"89";"2023-10-02 19:12";"2023-10-02 19:19";"[18.06314,59.31489]";"[18.05655,59.3197]";"10.00";"18.76";"100.00"
"109";"1818";"446";"2023-10-02 19:12";"2023-10-02 19:14";"[13.52359,59.3995]";"[13.52075,59.40063]";"10.00";"5.55";"100.00"
"110";"1008";"122";"2023-10-02 19:21";"2023-10-02 19:29";"[18.02144,59.3503]";"[18.0199,59.3508]";"10.00";"23.84";"100.00"
"111";"1831";"688";"2023-10-02 19:30";"2023-10-02 19:35";"[13.4901,59.37163]";"[13.48804,59.37148]";"10.00";"12.35";"100.00"
"112";"1713";"424";"2023-10-02 19:49";"2023-10-02 19:56";"[13.51288,59.38382]";"[13.51476,59.38363]";"10.00";"18.22";"100.00"
"113";"1563";"360";"2023-10-02 19:51";"2023-10-02 19:53";"[13.52063,59.4021]";"[13.51924,59.40433]";"10.00";"5.81";"100.00"
"114";"1009";"122";"2023-10-02 19:52";"2023-10-02 19:57";"[18.0199,59.3508]";"[18.02199,59.34776]";"10.00";"12.30";"100.00"
"115";"1010";"122";"2023-10-02 20:14";"2023-10-02 20:19";"[18.02199,59.34776]";"[18.02144,59.3503]";"10.00";"12.90";"100.00"
"116";"1103";"89";"2023-10-02 20:17";"2023-10-02 20:23";"[18.05655,59.3197]";"[18.06004,59.31718]";"10.00";"15.43";"100.00"
"117";"1104";"89";"2023-10-02 20:32";"2023-10-02 20:37";"[18.06004,59.31718]";"[18.06314,59.31489]";"10.00";"12.08";"100.00"
"118";"1714";"424";"2023-10-02 20:41";"2023-10-02 20:45";"[13.51476,59.38363]";"[13.51363,59.38151]";"10.00";"11.82";"100.00"
"119";"1510";"524";"2023-10-02 21:11";"2023-10-02 21:18";"[13.50783,59.38528]";"[13.50508,59.384]";"10.00";"18.34";"100.00"
"120";"1659";"1006";"2023-10-02 21:20";"2023-10-02 21:32";"[11.94016,57.73196]";"[11.94072,57.73219]";"10.00";"34.63";"100.00"
"121";"1715";"424";"2023-10-02 21:21";"2023-10-02 21:27";"[13.51363,59.38151]";"[13.51288,59.38382]";"10.00";"17.95";"100.00"
"122";"1663";"318";"2023-10-02 21:27";"2023-10-02 21:35";"[18.04921,59.32911]";"[18.05042,59.32723]";"10.00";"22.07";"100.00"
"123";"1019";"372";"2023-10-02 21:29";"2023-10-02 21:36";"[13.45716,59.38229]";"[13.45413,59.38094]";"10.00";"18.81";"100.00"
"124";"1724";"60";"2023-10-02 21:29";"2023-10-02 21:38";"[18.07992,59.31463]";"[18.08015,59.30942]";"10.00";"26.55";"100.00"
"125";"1659";"1006";"2023-10-02 21:38";"2023-10-02 21:41";"[11.94072,57.73219]";"[11.93861,57.72978]";"10.00";"6.39";"100.00"
"126";"1236";"708";"2023-10-02 21:44";"2023-10-02 21:53";"[13.47537,59.37613]";"[13.47664,59.37997]";"10.00";"24.04";"100.00"
"127";"1352";"252";"2023-10-02 21:44";"2023-10-02 21:47";"[18.06871,59.34414]";"[18.06535,59.34532]";"10.00";"7.53";"100.00"
"128";"1165";"341";"2023-10-02 21:53";"2023-10-02 21:55";"[18.04101,59.33313]";"[18.04881,59.33094]";"10.00";"5.45";"100.00"
"129";"1663";"318";"2023-10-02 21:53";"2023-10-02 21:57";"[18.05042,59.32723]";"[18.04921,59.32911]";"10.00";"11.47";"100.00"
"130";"1659";"1006";"2023-10-02 21:58";"2023-10-02 22:04";"[11.93861,57.72978]";"[11.94016,57.73196]";"10.00";"16.29";"100.00"
"131";"1724";"60";"2023-10-02 22:15";"2023-10-02 22:20";"[18.08015,59.30942]";"[18.08395,59.31222]";"10.00";"14.35";"100.00"
"132";"1510";"524";"2023-10-02 22:16";"2023-10-02 22:21";"[13.50508,59.384]";"[13.50783,59.38528]";"10.00";"12.04";"100.00"
"133";"1020";"372";"2023-10-02 22:35";"2023-10-02 22:38";"[13.45413,59.38094]";"[13.45716,59.38229]";"10.00";"8.97";"100.00"
"134";"1352";"252";"2023-10-02 22:36";"2023-10-02 22:41";"[18.06535,59.34532]";"[18.06871,59.34414]";"10.00";"13.08";"100.00"
"135";"1166";"341";"2023-10-02 22:49";"2023-10-02 22:55";"[18.04881,59.33094]";"[18.04397,59.33161]";"10.00";"15.88";"100.00"
"136";"1236";"708";"2023-10-02 22:52";"2023-10-02 22:59";"[13.47664,59.37997]";"[13.47687,59.37761]";"10.00";"18.57";"100.00"
"137";"1725";"60";"2023-10-02 23:15";"2023-10-02 23:20";"[18.08395,59.31222]";"[18.07992,59.31463]";"10.00";"13.45";"100.00"
"138";"1167";"341";"2023-10-02 23:28";"2023-10-02 23:30";"[18.04397,59.33161]";"[18.04101,59.33313]";"10.00";"4.47";"100.00"
"139";"1237";"708";"2023-10-02 23:35";"2023-10-02 23:36";"[13.47687,59.37761]";"[13.47537,59.37613]";"10.00";"1.63";"100.00"
"140";"1560";"53";"2023-10-03 08:24";"2023-10-03 08:31";"[18.07654,59.3447]";"[18.08772,59.34346]";"10.00";"19.57";"100.00"
"141";"1560";"53";"2023-10-03 09:08";"2023-10-03 09:15";"[18.08772,59.34346]";"[18.08263,59.34582]";"10.00";"18.83";"100.00"
"142";"1399";"71";"2023-10-03 09:40";"2023-10-03 09:48";"[18.06667,59.31134]";"[18.06456,59.30896]";"10.00";"21.56";"100.00"
"143";"1561";"53";"2023-10-03 09:55";"2023-10-03 10:00";"[18.08263,59.34582]";"[18.07654,59.3447]";"10.00";"12.20";"100.00"
"144";"1681";"62";"2023-10-03 10:22";"2023-10-03 10:29";"[18.0772,59.31584]";"[18.08475,59.31144]";"10.00";"20.49";"100.00"
"145";"1170";"644";"2023-10-03 10:26";"2023-10-03 10:34";"[13.53048,59.38289]";"[13.5269,59.38435]";"10.00";"23.66";"100.00"
"146";"1400";"71";"2023-10-03 10:38";"2023-10-03 10:41";"[18.06456,59.30896]";"[18.06174,59.31224]";"10.00";"7.56";"100.00"
"147";"1400";"71";"2023-10-03 11:00";"2023-10-03 11:04";"[18.06174,59.31224]";"[18.06667,59.31134]";"10.00";"11.21";"100.00"
"148";"1171";"644";"2023-10-03 11:08";"2023-10-03 11:11";"[13.5269,59.38435]";"[13.53048,59.38289]";"10.00";"6.87";"100.00"
"149";"1681";"62";"2023-10-03 11:21";"2023-10-03 11:24";"[18.08475,59.31144]";"[18.0801,59.31302]";"10.00";"6.33";"100.00"
"150";"1597";"285";"2023-10-03 11:33";"2023-10-03 11:40";"[18.00297,59.33815]";"[18.00807,59.33866]";"10.00";"19.48";"100.00"
"151";"1681";"62";"2023-10-03 11:43";"2023-10-03 11:48";"[18.0801,59.31302]";"[18.0772,59.31584]";"10.00";"14.26";"100.00"
"152";"1597";"285";"2023-10-03 12:39";"2023-10-03 12:44";"[18.00807,59.33866]";"[18.00297,59.33815]";"10.00";"12.38";"100.00"
"153";"1098";"425";"2023-10-03 14:22";"2023-10-03 14:30";"[13.51715,59.37644]";"[13.51815,59.37815]";"10.00";"22.07";"100.00"
"154";"1098";"425";"2023-10-03 14:57";"2023-10-03 15:00";"[13.51815,59.37815]";"[13.52084,59.37676]";"10.00";"8.69";"100.00"
"155";"1769";"569";"2023-10-03 15:11";"2023-10-03 15:19";"[13.45024,59.38792]";"[13.45355,59.38946]";"10.00";"21.46";"100.00"
"156";"1099";"425";"2023-10-03 15:25";"2023-10-03 15:31";"[13.52084,59.37676]";"[13.51715,59.37644]";"10.00";"15.39";"100.00"
"157";"1769";"569";"2023-10-03 15:30";"2023-10-03 15:34";"[13.45355,59.38946]";"[13.45024,59.38792]";"10.00";"10.66";"100.00"
"158";"1090";"327";"2023-10-03 17:24";"2023-10-03 17:35";"[18.08045,59.33288]";"[18.08503,59.33234]";"10.00";"31.19";"100.00"
"159";"1967";"689";"2023-10-03 17:41";"2023-10-03 17:49";"[13.55074,59.40011]";"[13.54278,59.40305]";"10.00";"22.07";"100.00"
"160";"1050";"594";"2023-10-03 17:55";"2023-10-03 18:03";"[13.56851,59.40211]";"[13.56485,59.4012]";"10.00";"22.98";"100.00"
"161";"1091";"327";"2023-10-03 18:02";"2023-10-03 18:07";"[18.08503,59.33234]";"[18.08045,59.33288]";"10.00";"13.68";"100.00"
"162";"1967";"689";"2023-10-03 18:14";"2023-10-03 18:16";"[13.54278,59.40305]";"[13.54772,59.40252]";"10.00";"4.57";"100.00"
"163";"1050";"594";"2023-10-03 18:16";"2023-10-03 18:19";"[13.56485,59.4012]";"[13.5694,59.39982]";"10.00";"8.13";"100.00"
"164";"1050";"594";"2023-10-03 18:52";"2023-10-03 18:57";"[13.5694,59.39982]";"[13.56851,59.40211]";"10.00";"12.10";"100.00"
"165";"1968";"689";"2023-10-03 18:59";"2023-10-03 19:04";"[13.54772,59.40252]";"[13.55074,59.40011]";"10.00";"13.59";"100.00"
"166";"1298";"181";"2023-10-03 19:44";"2023-10-03 19:54";"[18.03211,59.31809]";"[18.0355,59.31485]";"10.00";"28.59";"100.00"
"167";"1999";"539";"2023-10-03 19:46";"2023-10-03 19:55";"[13.57352,59.39857]";"[13.57384,59.40315]";"10.00";"25.52";"100.00"
"168";"1299";"181";"2023-10-03 20:24";"2023-10-03 20:30";"[18.0355,59.31485]";"[18.03592,59.31653]";"10.00";"15.63";"100.00"
"169";"1243";"1032";"2023-10-03 20:29";"2023-10-03 20:39";"[11.99363,57.70258]";"[11.9925,57.70456]";"10.00";"27.57";"100.00"
"170";"1999";"539";"2023-10-03 20:43";"2023-10-03 20:47";"[13.57384,59.40315]";"[13.57177,59.40104]";"10.00";"11.29";"100.00"
"171";"1300";"181";"2023-10-03 20:44";"2023-10-03 20:48";"[18.03592,59.31653]";"[18.03211,59.31809]";"10.00";"10.32";"100.00"
"172";"2000";"539";"2023-10-03 21:12";"2023-10-03 21:15";"[13.57177,59.40104]";"[13.57352,59.39857]";"10.00";"6.63";"100.00"
"173";"1244";"1032";"2023-10-03 21:29";"2023-10-03 21:31";"[11.9925,57.70456]";"[11.99363,57.70258]";"10.00";"3.67";"100.00"
"174";"1237";"275";"2023-10-03 21:49";"2023-10-03 21:58";"[18.05003,59.34662]";"[18.04301,59.34406]";"10.00";"24.62";"100.00"
"175";"1238";"275";"2023-10-03 22:38";"2023-10-03 22:45";"[18.04301,59.34406]";"[18.04623,59.34509]";"10.00";"18.43";"100.00"
"176";"1238";"275";"2023-10-03 23:14";"2023-10-03 23:19";"[18.04623,59.34509]";"[18.05003,59.34662]";"10.00";"14.94";"100.00"
"177";"1721";"113";"2023-10-04 08:54";"2023-10-04 08:59";"[18.07988,59.34441]";"[18.07301,59.34209]";"10.00";"13.28";"100.00"
"178";"1722";"113";"2023-10-04 09:15";"2023-10-04 09:18";"[18.07301,59.34209]";"[18.07819,59.3417]";"10.00";"7.13";"100.00"
"179";"1841";"460";"2023-10-04 09:42";"2023-10-04 09:47";"[13.4959,59.41138]";"[13.49921,59.40784]";"10.00";"13.91";"100.00"
"180";"1841";"460";"2023-10-04 09:55";"2023-10-04 10:01";"[13.49921,59.40784]";"[13.49858,59.40943]";"10.00";"17.77";"100.00"
"181";"1723";"113";"2023-10-04 09:56";"2023-10-04 09:59";"[18.07819,59.3417]";"[18.07988,59.34441]";"10.00";"7.20";"100.00"
"182";"1842";"460";"2023-10-04 10:07";"2023-10-04 10:13";"[13.49857,59.40943]";"[13.4959,59.41138]";"10.00";"17.59";"100.00"
